0	1	2
289	300	301
291	290	302
290	301	302
292	294	303
293	292	303
303	304	293
297	293	304
294	295	305
294	305	303
295	296	306
295	306	305
296	307	306
304	308	297
297	309	298
309	297	308
298	310	299
310	298	309
299	311	300
311	299	310
301	300	312
300	311	312
302	301	313
301	312	313
303	305	314
304	303	314
314	315	304
308	304	315
305	306	316
305	316	314
306	307	317
306	317	316
307	318	317
315	319	308
308	320	309
320	308	319
309	321	310
321	309	320
310	322	311
322	310	321
312	311	323
311	322	323
313	312	324
312	323	324
314	316	325
315	314	325
325	326	315
319	315	326
316	317	327
316	327	325
317	318	328
317	328	327
318	329	328
330	319	326
319	331	320
331	319	330
320	332	321
332	320	331
321	333	322
333	321	332
323	322	334
322	333	334
324	323	335
323	334	335
325	327	336
326	325	336
337	326	336
330	326	337
327	328	338
327	338	336
328	329	339
328	339	338
329	340	339
341	330	337
330	342	331
341	342	330
331	343	332
343	331	342
332	344	333
344	332	343
334	333	345
333	344	345
335	334	346
334	345	346
347	336	338
336	347	337
337	347	348
348	341	337
349	338	339
338	349	347
350	339	340
339	350	349
350	340	351
352	341	348
341	353	342
352	353	341
342	354	343
353	354	342
343	355	344
355	343	354
345	344	356
344	355	356
346	345	357
345	356	357
349	358	347
348	347	358
359	348	358
352	348	359
360	349	350
360	358	349
361	351	362
351	361	350
350	361	360
352	359	363
352	363	353
353	364	354
353	363	364
365	355	354
354	364	365
356	355	366
355	365	366
357	356	367
356	366	367
368	358	360
359	369	363
368	370	358
369	359	370
370	359	358
371	362	372
362	371	361
373	361	371
373	360	361
368	360	373
374	368	373
375	371	372
375	372	376
369	377	363
377	364	363
377	378	364
365	364	379
378	379	364
366	365	380
379	380	365
367	366	381
380	381	366
374	382	368
382	370	368
369	383	377
383	369	384
382	384	370
384	369	370
375	385	371
371	385	373
374	373	385
374	385	386
374	386	382
375	376	387
375	387	385
388	387	376
388	376	389
383	390	377
390	378	377
378	390	391
392	379	378
392	378	391
393	380	379
392	393	379
381	380	394
393	394	380
390	383	395
396	382	386
382	396	384
396	397	384
397	395	383
383	384	397
398	385	387
385	398	386
399	386	398
386	399	396
400	398	387
388	400	387
388	389	401
388	401	400
389	402	401
395	403	390
403	391	390
391	403	404
392	405	393
404	405	391
392	391	405
394	393	406
406	393	405
403	395	407
408	407	395
395	397	408
409	396	399
409	408	397
396	409	397
399	398	410
398	400	410
399	411	409
410	411	399
410	400	412
400	401	412
413	412	401
402	414	401
413	401	414
414	402	415
407	416	403
404	403	416
404	416	417
418	404	417
418	405	404
406	405	419
418	419	405
420	416	407
408	421	407
420	407	421
409	422	408
421	408	422
411	422	409
423	411	410
412	423	410
422	411	424
423	424	411
423	412	425
413	425	412
413	414	426
413	426	425
414	415	427
426	414	427
427	415	428
416	429	417
416	420	429
430	417	429
417	431	418
418	431	419
430	431	417
432	429	420
433	420	421
433	432	420
421	422	434
433	421	434
424	434	422
435	434	424
424	423	436
436	435	424
425	436	423
426	437	425
436	425	437
426	427	438
438	437	426
427	428	439
427	439	438
428	440	439
432	441	429
430	429	442
442	429	441
430	443	431
430	442	443
432	433	444
433	434	444
432	444	441
445	434	435
445	444	434
445	435	446
435	436	447
446	435	447
447	436	437
448	447	437
449	437	438
448	437	449
439	450	438
449	438	450
439	440	451
450	439	451
440	452	451
453	441	444
454	442	441
441	453	454
442	455	443
455	442	454
453	444	456
445	456	444
445	446	456
457	456	446
446	447	458
457	446	458
448	458	447
448	449	459
448	459	458
450	460	449
459	449	460
450	451	461
460	450	461
451	452	462
451	462	461
452	463	462
464	453	456
453	465	454
464	465	453
455	454	466
466	454	465
467	464	456
457	467	456
457	468	467
457	458	468
469	458	459
468	458	469
470	459	460
459	470	469
460	461	471
470	460	471
461	462	472
461	472	471
462	463	473
462	473	472
463	474	473
467	475	464
465	464	476
475	476	464
466	465	477
465	476	477
475	467	478
468	478	467
479	478	468
468	469	479
470	480	469
479	469	480
471	481	470
470	481	480
471	472	482
481	471	482
472	473	483
472	483	482
473	474	484
473	484	483
474	485	484
478	486	475
476	475	487
487	475	486
477	476	488
476	487	488
486	478	489
479	489	478
489	479	490
480	490	479
481	491	480
490	480	491
482	492	481
491	481	492
482	483	493
